分類,分類標題,字號,日期,摘要,關鍵詞,來源檔名
3-7,水土保持相關使用案,字第0940130438號函,94年6月14日,一、查農業用地作農業使用認定及核發證明辦法第5條明定「農業用地有下列情形，且無第6條及第7條之情形者，認定為作農業使用：一、農業用地實際作農作、森林、養殖、畜牧、『保育』使用者；....。二、農業用地上興建有農舍或施設有農業設施，並檢附合法證明文件者。」所稱保育係指為維護國土保安、水土保持等需要而設置之設施。又農業發展條例第8條之1第2項明定「農業用地上興建有固定基礎之農業設施，應先申請農業設施之容許使用，並依法申請建築執照。」二、綜上，本案有關簡易水土保持計畫應經核准，且應依原核定計畫使用，故宜俟其依核准之簡易水土保持計畫施設完竣後，再依前開規定審核。,查農業用地作農業使用認定及核發證明辦法第5條明定、農業用地有下列情形、且無第6條及第7條之情形者、認定為作農業使用、農業用地實際作農作、森林、養殖、畜牧、保育、使用者,農業使用證明函釋part14.docx
3-7,水土保持相關使用案,字第0930105021號函,93年2月2日,查農業發展條例第3條第12款明定「農業使用：指農業用地依法實際供農作、森林、養殖、畜牧、『保育』及設置相關之農業設施或農舍使用者。」所稱「保育」應係指為維護國土保安、水土保持等需要而設置之設施。本案簡易水土保持設施經貴府核屬需要並予以備查，應符合前開農業使用之定義，得核發農業用地作農業使用證明書。,保育、查農業發展條例第3條第12款明定、農業使用、指農業用地依法實際供農作、森林、養殖、畜牧、及設置相關之農業設施或農舍使用者、所稱、應係指為維護國土保安,農業使用證明函釋part14.docx
3-8,再生能源相關設施非屬農業使用案,字第1060708681號函,106年5月8日,查農業發展條例第3條第10款規定略以：「農業用地：指非都市土地或都市土地農業區、保護區範圍內，依法供下列使用之土地：．．．(二)供與農業經營不可分離之農舍．．．灌溉、排水及其他農用之土地．．．」上開供與農業經營不可分離之「灌溉、排水」之土地，係依區域計畫法劃定為各種使用分區內編定之水利用地，且應作上開與農業經營不可分離之農田灌溉、排水使用，始符合作農業使用之認定。復查農業用地應作農業使用，始得核發農業用地作農業使用證明書，俾供持憑辦理相關稅賦減免優惠，本會並定有「農業用地作農業使用認定及核發證明辦法」(以下簡稱農用證明辦法)，作為執行依據。依該辦法第4條規定略以：「農業用地符合下列情形，且無第,灌溉、查農業發展條例第3條第10款規定略以、農業用地、指非都市土地或都市土地農業區、保護區範圍內、依法供下列使用之土地、供與農業經營不可分離之農舍、排水及其他農用之土地、上開供與農業經營不可分離之、排水,農業使用證明函釋part14.docx
4-1,為農業用地上有興建中農舍案,字第0950141550號函,95年7月31日,有關依法申請核准興建中之農舍，因尚未竣工無法取得使用執照，倘因起造人死亡，繼承人為辦理起造人變更，而發生繼承之法律事實，如該農舍係依建築執照規定興建，且尚未超過建築執照所核准興建之面積及高度，仍得認定該建築執照係符合農業用地作農業使用認定及核發證明辦法第5條第2款所規定之合法證明文件。,有關依法申請核准興建中之農舍、因尚未竣工無法取得使用執照、倘因起造人死亡、繼承人為辦理起造人變更、而發生繼承之法律事實、如該農舍係依建築執照規定興建、且尚未超過建築執照所核准興建之面積及高度、仍得認定該建築執照係符合農業用地作農業使用認定及核發證明辦法第5條第2款所規定之合法證明文件,農業使用證明函釋part14.docx
4-2,農業用地上建有集村農舍之審認案,字第1050715872號函,105年7月11日,查本會105年5月24日農企字第1050213017號函釋(諒達)，依非都市土地使用管制規則第6條附表1規定，農牧用地得容許做林業使用，其許可使用細目限於「造林、苗圃」，復依農舍係與農業經營不可分離之立法意旨，農業用地上應有農業經營生產之事實，且依本會105年4月21日函示農舍90%之農業經營用地(含集村農舍為配合耕地)應積極從事具經濟性之農業生產使用，始得特許興建。是以，集村農舍倘配合耕地未有從事農業生產之積極利用事實，不宜認定為作農業使用。又「造林」認定方式依本會林務局89年11月22日89林政字第891622926號函明示，係指所植林木符合該局所定之樹種、造林木已達3年生以上、成活率70,造林、是以、查本會105年5月24日農企字第1050213017號函釋、諒達、依非都市土地使用管制規則第6條附表1規定、農牧用地得容許做林業使用、其許可使用細目限於、苗圃、復依農舍係與農業經營不可分離之立法意旨、農業用地上應有農業經營生產之事實,農業使用證明函釋part14.docx
4-2,農業用地上建有集村農舍之審認案,字第1010133782號函,101年12月11日,查本會101年11月13日農企字第1010131232號函已說明，為集村興建農舍申請核發農業用地作農業使用證明書(以下簡稱農用證明)時，不宜就該農舍坐落之農舍用地或其配合耕地分別核發上開證明書。故倘有農舍之坐落用地與其配合耕地分屬毗鄰鄉鎮之情形者，於申請農用證明時，仍應於申請書上逐筆載明農舍坐落用地及其配合耕地之土地資料，就配合耕地是否符合作農業使用之認定基準，則得依行政程序法第19條第1項規定，請毗鄰之鄉(鎮、市)公所協助認定，倘有協助之困難或疑義，貴府基於其共同上級機關立場，並得給予適當之行政指導及協助。,查本會101年11月13日農企字第1010131232號函已說明、為集村興建農舍申請核發農業用地作農業使用證明書、以下簡稱農用證明、不宜就該農舍坐落之農舍用地或其配合耕地分別核發上開證明書、故倘有農舍之坐落用地與其配合耕地分屬毗鄰鄉鎮之情形者、於申請農用證明時、仍應於申請書上逐筆載明農舍坐落用地及其配合耕地之土地資料、就配合耕地是否符合作農業使用之認定基準、則得依行政程序法第19條第1項規定、請毗鄰之鄉,農業使用證明函釋part14.docx
4-2,農業用地上建有集村農舍之審認案,字第1010131232號函,101年11月13日,一、查集村興建農舍之意旨，係參酌引用土地發展權觀念，使所有權人間之土地使用權利，得透過農業用地興建農舍辦法之設計機制進行交換移轉以集中興建，達到保護農業生產環境與確保生活品質之目的，故農舍與其配合耕地之使用應有密不可分之關聯性。又依農業發展條例第18條第4項規定，農舍應與其坐落用地併同移轉或併同設定抵押權，而集村興建農舍係將農舍興建之權利移轉至他宗農業用地上集合興建，故起造人提供申請興建農舍之各宗農業用地(含配合耕地)均屬該農舍之坐落用地(使用執照上之坐落基地欄亦有登載)，依上開規定，兩者應併同移轉或併同設定抵押權，本會92年8月1日農授水保字第0921847088號函及97年3月31日農授水,查集村興建農舍之意旨、係參酌引用土地發展權觀念、使所有權人間之土地使用權利、得透過農業用地興建農舍辦法之設計機制進行交換移轉以集中興建、達到保護農業生產環境與確保生活品質之目的、故農舍與其配合耕地之使用應有密不可分之關聯性、又依農業發展條例第18條第4項規定、農舍應與其坐落用地併同移轉或併同設定抵押權、而集村興建農舍係將農舍興建之權利移轉至他宗農業用地上集合興建、故起造人提供申請興建農舍之各宗農業用地,農業使用證明函釋part14.docx
4-2,農業用地上建有集村農舍之審認案,字第1010127603號函,101年10月22日,查集村興建農舍之意旨，係參酌引用土地發展權觀念，使所有權人間之土地使用權利，得透過農業用地興建農舍辦法之設計機制進行交換移轉以集中興建，達到保護農業生產環境與確保生活品質之目的，故農舍與其配合耕地之使用應有密不可分之關聯性。又依農業發展條例第18條第4項規定，農舍應與其坐落用地併同移轉或併同設定抵押權，另查本會92年8月1日農授水保字第0921847088號函略以，集村興建農舍係將農舍興建之權利移轉至他宗農業用地上集合興建，故起造人提供申請之各宗農業用地均屬該農舍之坐落用地(使用執照上之坐落基地欄亦有登載)，依上開規定，兩者應併同移轉或併同設定抵押權，本會97年3月31日農授水保字第09718,查集村興建農舍之意旨、係參酌引用土地發展權觀念、使所有權人間之土地使用權利、得透過農業用地興建農舍辦法之設計機制進行交換移轉以集中興建、達到保護農業生產環境與確保生活品質之目的、故農舍與其配合耕地之使用應有密不可分之關聯性、又依農業發展條例第18條第4項規定、農舍應與其坐落用地併同移轉或併同設定抵押權、另查本會92年8月1日農授水保字第0921847088號函略以、集村興建農舍係將農舍興建之權利移轉至他宗農業用地上集合興建,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0980173390號函,98年11月25日,一、查所稱作為配合計算興建農舍基地面積之農地，應係指民國89年1月26日農業發展條例修正公布施行前，允許多筆農地合併計算基地面積，而申請興建農舍於其中一筆農地者而言，先予敘明。二、又農業發展條例第37條及第38條有關作農業使用之農業用地得有賦稅減免優惠之規定，應係指該筆擬辦理所有權移轉登記之土地而言；又同條例第18條第4項所稱已申請興建農舍之農業用地不得重複申請，應包括配合計算基地面積之農地，併予敘明。三、綜上，旨揭配合計算興建農舍基地面積之農地，如符合農業使用認定基準，應依規定核發農業用地作農業使用證明書，惟仍應依農業用地興建農舍辦法第9條之規定辦理標示、列管及註記，始符法制。,查所稱作為配合計算興建農舍基地面積之農地、應係指民國89年1月26日農業發展條例修正公布施行前、允許多筆農地合併計算基地面積、而申請興建農舍於其中一筆農地者而言、先予敘明、又農業發展條例第37條及第38條有關作農業使用之農業用地得有賦稅減免優惠之規定、應係指該筆擬辦理所有權移轉登記之土地而言、又同條例第18條第4項所稱已申請興建農舍之農業用地不得重複申請、應包括配合計算基地面積之農地、併予敘明,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0960135825號函,96年7月5日,一、查農業用地應符合作農業使用之認定，始得核發農業用地作農業使用證明書。又農業用地作農業使用認定及核發證明辦法第6條明定：「農業設施或農舍有下列各款情形之一者，不得認定為作農業使用： .... 三、本條例民國89年1月26日修正公布施行前，以多筆農業用地合併計算基地面積申請興建農舍，其原合併計算之農業用地部分或全部業已移轉他人，致不符合原申請興建農舍之要件者。」旨揭興建農舍之土地，其農舍面積雖超過該筆農地面積之百分之十，惟本案係因繼承而分割，且分割後之各筆土地仍由原繼承人持有，參酌前開規定，仍得認定該農舍符合農地面積百分之十之要件。至該筆土地除農舍以外之部分是否符合作農業使用之認定，仍請本於權,列管、查農業用地應符合作農業使用之認定、始得核發農業用地作農業使用證明書、又農業用地作農業使用認定及核發證明辦法第6條明定、農業設施或農舍有下列各款情形之一者、不得認定為作農業使用、本條例民國89年1月26日修正公布施行前、以多筆農業用地合併計算基地面積申請興建農舍、其原合併計算之農業用地部分或全部業已移轉他人、致不符合原申請興建農舍之要件者,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0960131717號函,96年6月12日,查農業用地應符合作農業使用之認定，始得核發農業用地作農業使用證明書。又農業用地作農業使用認定及核發證明辦法第6條明定：「農業設施或農舍有下列各款情形之一者，不得認定為作農業使用： .... 三、本條例民國89年1月26日修正公布施行前，以多筆農業用地合併計算基地面積申請興建農舍，其原合併計算之農業用地部分或全部業已移轉他人，致不符合原申請興建農舍之要件者。」因此，本案宜請就該土地之利用現況是否符合作農業使用之認定及其他土地有無前開條文規範之情況審認之。,查農業用地應符合作農業使用之認定、始得核發農業用地作農業使用證明書、又農業用地作農業使用認定及核發證明辦法第6條明定、農業設施或農舍有下列各款情形之一者、不得認定為作農業使用、本條例民國89年1月26日修正公布施行前、以多筆農業用地合併計算基地面積申請興建農舍、其原合併計算之農業用地部分或全部業已移轉他人、致不符合原申請興建農舍之要件者、因此,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0960124685號函,96年5月9日,查本會91年4月17日農企字第0910010047號函釋略以「...鑒於農業發展條例暨相關配套法案於89年1月26日公布施行前，對合併計算農舍建蔽率之配合耕地並未限制移轉，且農業發展條例第18條第4項僅規範『農舍應與其坐落用地併同移轉或併同設定抵押權』，所稱『坐落用地』應僅限於該農舍興建之坐落基地...」（諒達），因此，本案未興建農舍之農業用地，申請核發農業用地作農業使用證明書時，應依其實際利用現況是否符合作農業使用之定義審認之。惟該農業用地仍應依農業用地興建農舍辦法第9條之規定辦理標示、列管及註記，始符法制。,查本會91年4月17日農企字第0910010047號函釋略以、鑒於農業發展條例暨相關配套法案於89年1月26日公布施行前、對合併計算農舍建蔽率之配合耕地並未限制移轉、且農業發展條例第18條第4項僅規範、農舍應與其坐落用地併同移轉或併同設定抵押權、所稱、坐落用地、應僅限於該農舍興建之坐落基地、諒達、因此,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0931826247號函,93年11月30日,一、查農業用地允許興建自用農舍其主要目的係協助農民解決與農業經營不可分離之居住需求，故其申請興建農舍之申請資格、建築面積、耕地面積皆有一定之限制與規範。有關農業發展條例民國89年1月26日修正公布施行前，以多筆農業用地合併計算基地面積申請興建農舍，其原合併計算之農業用地部分或全部如有移轉他人，致不符合原申請興建農舍之要件者，不得認定為作農業使用乙節，農業用地作農業使用認定及核發證明辦法第6條第3款業有明文。惟考量因繼承或贈與民法第1138條所定繼承人，且繼續持有，故得認定該合併計算基地面積之農業用地未移轉他人，本會前於93年9月6日農企字第0930141642號函釋在案。二、本案就前開合併計算,查農業用地允許興建自用農舍其主要目的係協助農民解決與農業經營不可分離之居住需求、故其申請興建農舍之申請資格、建築面積、耕地面積皆有一定之限制與規範、有關農業發展條例民國89年1月26日修正公布施行前、以多筆農業用地合併計算基地面積申請興建農舍、其原合併計算之農業用地部分或全部如有移轉他人、致不符合原申請興建農舍之要件者、不得認定為作農業使用乙節、農業用地作農業使用認定及核發證明辦法第6條第3款業有明文,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0930141642號函,93年9月6日,一、查農業用地作農業使用認定及核發證明辦法第6條「農業設施或農舍有下列情形之一者，不得認定為作農業使用……。三、本條例民國89年1月26日修正公布施行前，以多筆農業用地合併計算基地面積申請興建農舍，其原合併計算之農業用地部分或全部業已移轉他人，致不符合原申請興建農舍之要件者。」之規定，係將本會前於91年多次召開會議研商，並就研商結論於91年4月7日以農企字第0910010047號函釋之規定，提升為該辦法之條文，以為執行依據，合先敘明。二、有關農舍坐落之農業用地或其他合併計算基地面積之農業用地，如因繼承或贈與民法第1138條所定繼承人，且繼續持有，得認定該合併計算基地面積之農業用地未移轉他人。倘,查農業用地作農業使用認定及核發證明辦法第6條、農業設施或農舍有下列情形之一者、不得認定為作農業使用、本條例民國89年1月26日修正公布施行前、以多筆農業用地合併計算基地面積申請興建農舍、其原合併計算之農業用地部分或全部業已移轉他人、致不符合原申請興建農舍之要件者、之規定、係將本會前於91年多次召開會議研商、並就研商結論於91年4月7日以農企字第0910010047號函釋之規定,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0931810435號函,93年5月26日,一、查農業用地作農業使用認定及核發證明辦法第6條「農業設施或農舍有下列情形之一者，不得認定為作農業使用……。三、本條例民國89年1月26日修正公布施行前，以多筆農業用地合併計算基地面積申請興建農舍，其原合併計算之農業用地部分或全部業已移轉他人，致不符合原申請興建農舍之要件者。」之規定，係將本會前於91年多次召開會議研商，並就研商結論於91年4月7日以農企字第0910010047號函釋之規定，提升為該辦法之條文，以為執行依據，合先敘明。二、本案農舍坐落之農業用地及其他合併計算基地面積之農業用地，如因繼承而分別由二子（合法繼承人）取得，且繼續持有，得認定該合併計算基地面積之農業用地未移轉他人。倘該,查農業用地作農業使用認定及核發證明辦法第6條、農業設施或農舍有下列情形之一者、不得認定為作農業使用、本條例民國89年1月26日修正公布施行前、以多筆農業用地合併計算基地面積申請興建農舍、其原合併計算之農業用地部分或全部業已移轉他人、致不符合原申請興建農舍之要件者、之規定、係將本會前於91年多次召開會議研商、並就研商結論於91年4月7日以農企字第0910010047號函釋之規定,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0930122644號函,93年5月12日,一、依據內政部93年5月3日內授中辦地字第0930723888號函辦理。二、查本會旨揭函釋略以：「鑒於農業發展條例暨相關配套法案於89年1月26日公布施行前，對合併計算農舍建蔽率之配合耕地並未限制移轉，且農業發展條例第18條第4項僅規範『農舍應與其坐落用地併同移轉或併同設定抵押權』，所稱『坐落用地』應僅限於該農舍興建之坐落基地；因此，（一）對於修法前配合申請興建農舍之耕地如未移轉他人，且實際興建農舍之面積及其使用並未超過原核准興建農舍之面積及核定用途使用者，則該農舍坐落之耕地得核發『農業用地作農業使用證明書』，另該配合申請之耕地應依『農業用地興建農舍辦法』第九條規定辦理。（二）對於修法前配合申,則該農舍坐落之耕地得核發、耕地符合土地使用管制規定證明書、依據內政部93年5月3日內授中辦地字第0930723888號函辦理、查本會旨揭函釋略以、鑒於農業發展條例暨相關配套法案於89年1月26日公布施行前、對合併計算農舍建蔽率之配合耕地並未限制移轉、且農業發展條例第18條第4項僅規範、農舍應與其坐落用地併同移轉或併同設定抵押權、所稱、坐落用地,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0920161439號函,92年10月22日,一、查本會91年4月17日農企字第0910010047號函釋有關農業發展條例及相關配套法案於89年1月26日公佈施行前，以多筆農地合併計算基地面積興建農舍，但配合申請興建農舍之農業用地業已移轉他人，則該農舍及其坐落之農地併同移轉時，應核發農業用地作農業使用證明書或耕地符合土地使用管制規定證明書案，係以該農舍及其坐落基地移轉時之情況，是否仍符合申請興建農舍時「建築面積不得超過其耕地面積10%」之要件，為審核基準。二、綜上，本案土地雖經共有物分割為單獨所有，該農舍與其農業用地之比例仍符合前開「建築面積不得超過其耕地面積10%」之規定，應得核發農業用地作農業使用證明書。,建築面積不得超過其耕地面積10、查本會91年4月17日農企字第0910010047號函釋有關農業發展條例及相關配套法案於89年1月26日公佈施行前、以多筆農地合併計算基地面積興建農舍、但配合申請興建農舍之農業用地業已移轉他人、則該農舍及其坐落之農地併同移轉時、應核發農業用地作農業使用證明書或耕地符合土地使用管制規定證明書案、係以該農舍及其坐落基地移轉時之情況、是否仍符合申請興建農舍時、之要件、為審核基準,農業使用證明函釋part14.docx
4-3,農業發展條例89年1月26日修正施行前，以多筆農地合併興建農舍相關事宜案,字第0920108240號函,92年2月17日,一、查所稱作為配合計算興建農舍基地面積之耕地，應係指民國89年1月26日農業發展條例修正公布施行前，允許多筆耕地合併計算基地面積，而申請興建農舍於其中一筆耕地者而言，先予敘明。二、又農業發展條例第37條及第38條有關作農業使用之農業用地得有賦稅減免優惠之規定，應係指該筆擬辦理所有權移轉登記之土地而言；又同條例第18條第4項所稱已申請興建農舍之農業用地不得重複申請，應包括配合計算基地面積之耕地，併予敘明。三、綜此，旨揭配合計算興建農舍基地面積之耕地，如符合農業使用認定基準，應依規定核發農業用地作農業使用證明書，惟尚應依農業用地興建農舍辦法第9條之規定辦理標示、列管及註記，始符法制。,查所稱作為配合計算興建農舍基地面積之耕地、應係指民國89年1月26日農業發展條例修正公布施行前、允許多筆耕地合併計算基地面積、而申請興建農舍於其中一筆耕地者而言、先予敘明、又農業發展條例第37條及第38條有關作農業使用之農業用地得有賦稅減免優惠之規定、應係指該筆擬辦理所有權移轉登記之土地而言、又同條例第18條第4項所稱已申請興建農舍之農業用地不得重複申請、應包括配合計算基地面積之耕地、併予敘明,農業使用證明函釋part14.docx
4-4,因法令限制而退縮興建農舍者，其農舍前面至計畫道路境界線之間，所鋪設柏油或水泥地面，應視為農舍附屬設施，准予認定為作農業使用案,字第0950148179號函,95年8月30日,依據內政部95年7月21日公佈修正施行之都市計畫法台灣省施行細則第29條第2項明定「申請興建農舍須符合下列規定：一、興建農舍之申請人必須具備農民身分，並應在該農業區內有農地或農場。二、農舍之高度不得超過四層或十四公尺，建築面積不得超過申請興建農舍之該宗農業用地面積百分之十，建築總樓地板面積不得超過六百六十平方公尺，與都市計畫道路境界之距離，除合法農舍申請立體增建外，不得小於八公尺。三、都市計畫農業區內之農地，其已申請建築者（包括百分之十農舍面積及百分之九十之農地），主管建築機關應於都市計畫及地籍套繪圖上著色標示之，嗣後不論該百分之九十農地是否分割，均不得再行申請興建農舍。四、農舍不得擅自變更使,而於其上舖設水泥地面、為簡政便民、惟配合申請農舍之其他農業用地仍應符合作農業使用之認定基準、始得核發農業用地作農業使用證明書、依據內政部95年7月21日公佈修正施行之都市計畫法台灣省施行細則第29條第2項明定、申請興建農舍須符合下列規定、興建農舍之申請人必須具備農民身分、並應在該農業區內有農地或農場、農舍之高度不得超過四層或十四公尺、建築面積不得超過申請興建農舍之該宗農業用地面積百分之十,農業使用證明函釋part15.docx
4-5,農業設施供釀酒等營利事業登記或農舍供家庭理髮、民宿使用、出租供他人使用，不符合作農業使用之認定案,字第0960143913號函,96年8月10日,本案所稱「他人以前所設立虎山行營利事業登記證」究係旨揭黃君承受該畜牧場前原土地所有權人所遺留，抑或黃君同意他人設置？該虎山行是否仍有在該地營業？宜請先予查明。倘該虎山行之登記係前人所遺留而未辦理註銷或變更手續，且亦未於該地營業，與黃君無涉，則原核發之農業用地作農業使用證明書仍不宜予以撤銷。,本案所稱、他人以前所設立虎山行營利事業登記證、究係旨揭黃君承受該畜牧場前原土地所有權人所遺留、抑或黃君同意他人設置、該虎山行是否仍有在該地營業、宜請先予查明、倘該虎山行之登記係前人所遺留而未辦理註銷或變更手續、且亦未於該地營業、與黃君無涉、則原核發之農業用地作農業使用證明書仍不宜予以撤銷,農業使用證明函釋part15.docx
4-5,農業設施供釀酒等營利事業登記或農舍供家庭理髮、民宿使用、出租供他人使用，不符合作農業使用之認定案,字第0950151424號函,95年9月13日,一、依據農業發展條例第18條之規定，農業用地容許申請興建農舍之立法意旨，主要係為協助農民解決其居住之問題，即「無自用農舍而需興建者」，故農業用地興建農舍辦法第3條明定申請人應為農民，且其資格條件尚包括年滿20歲、無自用農舍、農業用地確作農業使用等。因此，依法申請核准興建之農舍，需作為農民居住及便利農業經營之使用，始符合農業使用之定義。二、非都市土地使用管制規則雖許可合法農舍作農產品之零售、農作物生產資材及日用品之零售、民宿等使用，惟依商業登記法第4條之規定，「左列各款小規模商業，得免依本法申請登記：...二、家庭農、林、漁、牧業者....」財政部曾函釋略以：「為配合農業政策，鼓勵農地農用，現行,因此、依據農業發展條例第18條之規定、農業用地容許申請興建農舍之立法意旨、主要係為協助農民解決其居住之問題、無自用農舍而需興建者、故農業用地興建農舍辦法第3條明定申請人應為農民、且其資格條件尚包括年滿20歲、無自用農舍、農業用地確作農業使用等、依法申請核准興建之農舍,農業使用證明函釋part15.docx
4-5,農業設施供釀酒等營利事業登記或農舍供家庭理髮、民宿使用、出租供他人使用，不符合作農業使用之認定案,字第0950120199號函,95年5月10日,一、查農業用地需符合作農業使用之認定，始得核發農業用地作農業使用證明書。所稱「農業使用」於農業發展條例第3條第12款即有明文定義「指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍使用者。」復依同條例第18條之規定，農業用地容許申請興建農舍之立法意旨，主要係為協助農民解決其居住之問題，即「無自用農舍而需興建者」，故農業用地興建農舍辦法第3條明定申請人應為農民，且其資格條件尚包括年滿20歲、無自用農舍、農業用地確作農業使用等。因此，依法申請核准興建之農舍，倘作為農民居住及農業經營使用，仍符合前開農業使用之定義。另在土地使用規定上，參據財政部93年8月20日台財稅字第093,農業使用、查農業用地需符合作農業使用之認定、始得核發農業用地作農業使用證明書、所稱、於農業發展條例第3條第12款即有明文定義、指農業用地依法實際供農作、森林、養殖、畜牧、保育及設置相關之農業設施或農舍使用者,農業使用證明函釋part15.docx
4-5,農業設施供釀酒等營利事業登記或農舍供家庭理髮、民宿使用、出租供他人使用，不符合作農業使用之認定案,字第0930140936號函,93年8月31日,查「都市計畫內農業區之農舍申請營利事業登記，其業務範圍應以自營農作物生產所必須及農民所必須之日用雜貨為限。」、「為配合農業政策，鼓勵農地農用，現行相關法令對於農業用地有賦予租稅減免之優惠規定，惟應以『作農業使用』為要件，以符減免優惠之意旨。另有關『農業使用』有其法定意涵，其與符合土地使用管制法令之容許使用仍屬有間，似不宜予以一致之認定。」分別為內政部營建署及財政部前開函釋意旨。綜上，有關都市計畫農業區之農舍，仍應依其核定用途使用，始符合農業使用之定義以及獎勵農地農用之政策目的。本案都市計畫農業區之農舍因部分作家庭理髮使用，依農業用地作農業使用認定及核發證明辦法第六條「農業設施或農舍有下列各款情,都市計畫內農業區之農舍申請營利事業登記、其業務範圍應以自營農作物生產所必須及農民所必須之日用雜貨為限、為配合農業政策、鼓勵農地農用、現行相關法令對於農業用地有賦予租稅減免之優惠規定、惟應以、作農業使用、為要件、以符減免優惠之意旨、另有關,農業使用證明函釋part15.docx
4-5,農業設施供釀酒等營利事業登記或農舍供家庭理髮、民宿使用、出租供他人使用，不符合作農業使用之認定案,字第0920177652號函,93年1月8日,查農業用地作農業使用認定及核發證明辦法第六條明訂「農業設施或農舍有下列各款情形之一者，不得認定為作農業使用：一、農業設施或農舍之興建面積，超過核准使用面積或未依核定用途使用者……」本案既經稅捐稽徵機關舉證，該筆農業用地於申請農業用地作農業使用證明書時，原核准興建之農舍業有設籍營業之事實，符合前開「不得認定為作農業使用」之規定，宜撤銷原處分。5.其他使用情形之審核,不得認定為作農業使用、查農業用地作農業使用認定及核發證明辦法第六條明訂、農業設施或農舍有下列各款情形之一者、農業設施或農舍之興建面積、超過核准使用面積或未依核定用途使用者、本案既經稅捐稽徵機關舉證、該筆農業用地於申請農業用地作農業使用證明書時、原核准興建之農舍業有設籍營業之事實、符合前開、之規定,農業使用證明函釋part15.docx
5-1,土地鋪設有水泥地面，覆土後種植果樹得否認定為作農業使用案,字第1040208270號函,104年3月16日,查行政機關於作成行政處分後，如發現該處分於作成時確屬違法者，基於依法行政原則，原則上得依職權撤銷該處分，以回復合法之狀態。次查本會過去多次函釋農地舖設有水泥、柏油地面，雖該舖面上覆土，仍不宜核發農業用地作農業使用證明，係因該土地地下之水泥或柏油地面事實仍存在，無論該鋪面之面積多寡，仍有破壞農業資源永續利用之情形。本案仍請依上開原則衡酌得否撤銷原已核發之農業用地作農業使用證明書，至如涉及行政處分撤銷事宜，建請依行政程序法規定辦理。倘有撤銷程序相關疑義，宜請逕洽詢貴府法制單位協處。,查行政機關於作成行政處分後、如發現該處分於作成時確屬違法者、基於依法行政原則、原則上得依職權撤銷該處分、以回復合法之狀態、次查本會過去多次函釋農地舖設有水泥、柏油地面、雖該舖面上覆土、仍不宜核發農業用地作農業使用證明、係因該土地地下之水泥或柏油地面事實仍存在,農業使用證明函釋part15.docx
5-1,土地鋪設有水泥地面，覆土後種植果樹得否認定為作農業使用案,字第0970141934號函,97年8月1日,一、查作農業使用之農業用地得申請不課徵土地增值稅或免徵遺產稅、贈與稅，為農業發展條例第37條及第38條所明定，其立法目的係以賦稅減免之優惠措施，獎勵農業用地作農業使用，以落實農地農用政策，並維護農業生產資源。又農業用地作農業使用認定及核發證明辦法第7條明定：「農業用地有下列各款情形之一者，不得認定為作農業使用...二、現場堆置與農業經營無關或妨礙耕作之障礙物、砂石、廢棄物者。三、現場舖設有非農業經營必要之柏油、水泥等情事者...」其意旨係因農業用地上堆置與農業經營無關之砂石、廢棄物或鋪設柏油、水泥，確已影響農業之經營，並破壞農業資源之永續利用，故不宜予以賦稅減免優惠之獎勵。二、本案土地鋪設有水,查作農業使用之農業用地得申請不課徵土地增值稅或免徵遺產稅、贈與稅、為農業發展條例第37條及第38條所明定、其立法目的係以賦稅減免之優惠措施、獎勵農業用地作農業使用、以落實農地農用政策、並維護農業生產資源、又農業用地作農業使用認定及核發證明辦法第7條明定、農業用地有下列各款情形之一者、不得認定為作農業使用,農業使用證明函釋part15.docx
